Sample,SampleGroup,IS_anthranilic acid C13,kynurenic acid,kynurenine,picolinic acid,quinolinic acid,tryptophan,xanthurenic acid,3-hydroxykynurenine,3-hydroxyanthranilic acid
LN44,LN,1179449.125,8090153.5,4816758,2.07E+05,1463019.125,15643626,6771661,860317.125,257677.375
LN45,LN,985601.375,4706532,973962.313,1.27E+05,2227787.75,11295504,4448397,237018.5,84369.984
LN46,LN,1755377.75,576795.563,385148.063,16223.211,430880.438,2225180.5,5.00E+05,206555.125,203821.672
LN47,LN,560718.125,4037556.25,1742808,7.58E+04,732569.875,13649932,4087166.25,246568.797,73767.391
LN48,LN,1352468.875,1380519.375,223439.109,92888.43,421096.313,2809944.25,1390820.5,74321.906,219830.531
LN49,LN,1660138.125,1917031.875,863441.25,112926.102,327683.656,5914928,2110673.75,145784.984,229977.281
LN50,LN,1077609.5,2917071.75,189324.188,8.01E+04,940476.625,4807301.5,1356375.75,90364.055,111435.305
LN51,LN,1526553.375,2409727.25,1815913.25,2.98E+04,627460.563,3226689.5,1.12E+06,691181.813,199557.234
LN52,LN,1637488.375,4155055,2165526.25,2.00E+05,804563.313,16243409,3370231.25,434950.844,662592.313
LN53,LN,740702.875,7570124,2749518.75,1.03E+05,1681221.625,15337200,3164049.25,576088.875,268996.719
LN54,LN,1281442.625,1645882.375,1263548.75,95165.516,822010.563,2288734.75,992510,184690.609,325601.781
LN55,LN,882245.125,3953080.25,1642990.625,1.70E+05,1180629.25,15294830,4200622.5,623243.25,363407.156
LN56,LN,916256.813,5669262.5,2545463.25,1.71E+05,2615771.25,15018485,4463058.5,368145.313,28150.676
LN57,LN,1671715.625,4851154,921426.188,1.11E+05,1719095.75,2903937,2713497,363783.719,307451.344
LN58,LN,1326600.75,5893212,999010,1.54E+05,838418.5,7376999.5,2586703.75,119784.844,130655.914
LN59,LN,1280383.25,2194970.75,521683.813,2.51E+04,622615.625,10681458,1199732.875,158297.016,128565.266
