Sample,Sequence,SampleGroup,Batch,RunType,IS_D3-Alanine,IS_C13-Phenylalanine,L-Alanine,L-Valine,Leucine,L-Isoleucine,Glycine,L-Serine,L-Threonine,L-Methionine,L-Glutamic acid,Phenylalanine,L-Glutamine,L-Lysine,L-Tyrosine,L-Tryptophan,L-Cystine,Myristic acid,Palmitelaidic acid,Palmitic acid,Linoleic acid,Oleic acid,Stearic acid,Arachidonic acid,meso-Erythritol,Arabitol,Myo-inositol,Xylose,Arabinose,Fructose,Talose (syn),Galactose (1Z),Glucose (1Z),Maltose,Mannitol,Sorbitol,Dulcitol,Maltitol,Ribose,1-Monopalmitin,"1,5-Anhydroglucitol","1,5-Dihydroxyphthalene",2-Ketoisocaproic acid,"2,3,4-Trihydroxybutyric acid","2,5-Furandicarboxylic acid",3-Deoxyhexitol,3-Hydroxybutyric acid,4-Hydroxybenzoic acid,4-Hydroxybutanoic acid,9H-Purin-6-ol,9H-Purine,Acetophenone,"Allonic acid, gamma-lactone",alpha-Tocopherol,Arabinofuranose,Benzoic Acid,Butylphosphonic acid,Cadaverine,Citric acid,D-Gluconic acid,D-Glucopyranose,D-Lactose,D-Xylopyranose,DL-Ornithine,Dodecanoic acid,Eicosapentaenoic Acid,Ethanolamine,Ethyl-alpha-D-glucopyranoside,Gluconolactone ,Glyceric acid,Glycerol monostearate,Glycerol,Glycidyl palmitate,Glycolic acid,Heptadecanoic acid,Hippuric acid,Indol-5-ol,L-Ornithine,Lactic Acid,"Mannonic acid, gamma-lactone",Methyl galactoside,Nonoic acid,Octopamine,p-Cresol,p-Toluenesulfomide,Propanoic acid,Pseudouridine,Ribonic acid,Sucrose,Tartaric acid,Urea
Sample54,65,KF,Batch4,Sample,7111722,4296012,6670542,4780335,881593,675895,8402010,1985845,1742650,76710,2419511,723150,1093786,2384505,933789,1107861,397354,342034,80971,2640674,2721817,1022116,5129051.333,1433291,4078744,3273132,3760247,4306256,802225,5936434,3440613,9278792,6599595,1721585,4698381,6125778,3097760,8670486,326157,557502,1226702,195419,,3087009,491552,2491719,2742566,117005,4584404,144734,3762633,1388165,,551141,598665,62474,103533,562762,6140886,1364736,1268898,635263,506202,,155606,485724,,,,1389058,224171,2340231,,2271700,,3006084,1989920,1713261,35645250,562484,1625957,,8030705,5212226,91841,2468941,977595,3973737,1124935,8799026,33359353
Sample58,73,KF,Batch4,Sample,5534724,3732596,3004961,2763662,698055,546298,6003245,619524,219969,39611,934916,486760,276070,777629,420309,343136,346128,259920,274794,6762213,2576444,750034,4021524.333,991956,6766952,2097159,5921182,4403694,618584,2289291,1617668,7009996,5923311,407853,1805532,1602033,783753,,248887,540403,558974,140886,,3564951,1563444,192962,1222967,90556,4354529,153272,4493653,1458026,1183525,547158,647669,72742,109376,503614,3710699,748844,2583574,263493,335274,,243416,398583,193891,153286,,681090,211934,3235311,114416,1379829,,3339813,2482600,647759,27306454,,,152374,6857429,3500631,203756,,677260,,1265419,1223221,37082544
Sample60,75,KF,Batch4,Sample,6739191,5359818,3296532,3606018,413272,32059,6305951,939761,701308,50995,952184,774786,396807,1558935,649372,502374,367864,361700,283714,9029338,3174812,1090056,6064359.333,1272833,3597435,3292550,6450861,4212882,779417,2511769,645680,5662029,5487745,1411472,6227385,5800622,960345,,,618810,1182119,280351,,3828427,469522,,,190492,5046417,196671,6370380,1438462,1737066,708506,,,180303,1295973,4390327,1645712,,606998,,,159980,349750,471725,465875,776321,205965,304489,1111631,,,,5407875,4886649,1058828,24085572,,,,9301452,5166456,105033,1561084,1179137,2793431,7075233,191427,50313531
Sample8,10,KF,Batch1,Sample,3176454,2522158,3239675,1963230,650618,614152,8467840,799915,687751,27377,1195415,437589,745266,1220833,322843,290909,237863,118301,141907,5831422,2555081,714387,3492988.333,675184,2715489,1842255,1333732,2791138,744955,2008395,1634562,15837145,7271356,474532,5093851,7033509,1800919,4984794,191587,283078,948486,76536,,2557909,943721,1193905,919454,72453,2248557,79803,2998230,401208,919673,256093,296073,99313,61046,675605,3804457,2344687,7951520,780239,408912,,,269151,267558,169741,423518,337904,106204,2181044,,671961,,5668022,1260591,1379992,13145910,,,188594,,2229997,,1494951,490522,1910487,1508860,3147492,12636603
Sample1,2,NORMAL,Batch1,Sample,5264891,2620173,4188973,3753920,1432195,1032338,7144285,698199,521700,34846,917961,405657,629861,2920872,1953178,1382405,145657,296101,299081,9538678,3418646,1737011,4920046.333,591169,230533,220718,1544009,275593,64903,528393,277322,2615515,1005010,30309,597567,451463.5,216145.5,1288715.5,,235194,4737239,23544.5,170433,306096,71616,96481,2623587,13096,2491942,228922,5082731,1113621,1015151,,192585,77512,79676,825835,2587551,,1016678,,48862.5,349684,203895,319720,274269,,88687.5,843083,75277,4295438,133379,,119133,,134108,1724493,24891581,772653,167505,,6598261,,,750822,,163540.5,,95713.5,29354754
Sample10,12,NORMAL,Batch1,Sample,7535407,4453950,5441574,3706934,1110910,567155,7240441,1480736,853608,145313,1091862,590381,1645978,2716959,2540978,1950463,242678,232644,295519,6855766,2739972,901738,3825706.333,1055233,363439,235491,1477110,287624,87311,798286,561519,3881217,4004343,107676,597567,451463.5,216145.5,1288715.5,,338375,4781532,23544.5,112465,388716,71616,96481,2548255,13096,3520839,85479,5907535,746576,1363572,399721,376719,79155,93172,966072,4469596,147310,,,48862.5,450964,223203,407932,333063,,88687.5,852346,102853,2723914,126888,,84970,104716,134108,2387395,7549833,740656,426375,117393,7546222,217887,46375,1698142,127589,163540.5,,95713.5,16339185
Sample13,16,NORMAL,Batch1,Sample,7177410,5230285,5172682,4817938,1322989,1463981,6728251,765513,790755,103919,931478,624410,1485454,2098284,1335875,2511187,263339,274657,190996,7282328,2433958,752908,4646740.333,946154,253320,181644,1047675,188203,492554,721532,582979,2345836,3208479,30309,597567,451463.5,216145.5,1288715.5,,391556,6751227,23544.5,932878,257790,71616,96481,2121839,13096,3526052,,6243000,747031,1287447,488380,496303,138697,104494,1272555,3305629,,1297809,,48862.5,397806,223647,566051,,,88687.5,474347,137998,2269521,237767,,95824,168178,134108,1342655,4503975,512058,530084,208892,7878283,254224,57932,2741227,105920,163540.5,,95713.5,14318714
Sample17,20,NORMAL,Batch2,Sample,11229604,7249441,8273177,5417402,1084722,1093967,10801675,1982771,930337,108372,1175089,944562,1967556,3072850,2888843,3352455,371661,449204,649465,12487845,6025801,1602443,7780268.333,1259516,333300,290938,1580594,465320,135972,883335,277322,4144379,5789676,106564,597567,451463.5,216145.5,1288715.5,,461806,6832987,23544.5,947535,428999,71616,96481,5271711,13096,,95115,4710577,1041014,,678891,980879,230500,187061,1587709,4386513,,1126109,,48862.5,320225,253303,656724,528521,,88687.5,895128,212762,4759478,372085,1526722,144518,160168,134108,1755405,37204031,1629092,444067,308055,12880167,365305,121599,3215169,,163540.5,,95713.5,65876987
Sample18,21,NORMAL,Batch2,Sample,13199883,7793885,8556215,7508405,3152887,2780162,13043456,1741447,1353284,172449,1533790,1119131,2036877,3788832,3968241,4078069,539426,566550,571409,12991462,5051589,1882888,8439213.333,1582190,767285,428198,2629630,680522,174640,1398332,277322,4660949,6324254,153046,597567,451463.5,216145.5,1288715.5,,470485,8639822,23544.5,203267,819230,71616,96481,7345873,13096,,637698,9889179,1269459,2001494,879865,852346,237317,172431,2061107,5829809,,972161,,48862.5,848995,396919,718117,616265,,88687.5,1655901,187271,5654721,406617,2107898,3024894,190213,134108,4288271,53537594,2003122,368571,,15309981,447591,97050,2477753,160398,163540.5,,95713.5,
Sample21,25,NORMAL,Batch2,Sample,13741143,8964266,7245415,8325155,1802272,2176519,13040979,1802170,1355339,186172,1337882,1163441,3037338,3507941,2333172,4375465,555719,605839,601239,13204121,7528930,7469846,8372948.333,1809967,485291,487774,2569635,850526,269374,1512498,1279896,4910543,5974751,178690,597567,451463.5,216145.5,1288715.5,122435,517825,11777044,23544.5,1480026,657636,71616,96481,8805285,13096,6087664,75030,9001587,1429429,,706256,699188,238769,217957,1971002,5776983,,3205321,,48862.5,728681,1058376,621299,621677,,88687.5,1260620,219454,6837933,426046,2546297,199133,369955,134108,2658008,33227321,2199595,585235,226263,13994447,196650,116092,2142041,186514,163540.5,166053,95713.5,59641467
